date,dam,hei,forced_release_bcm,peak_release_cusecs,release_day1_cusecs,inflow_day1_cusecs,rain_day1_mm,day_of_exhaustion,storage_basis
2023-09-18,Pong,-0.05034398160336827,0.0,0.0,0.0,78807.59659106036,19.979905476659777,,model
2023-09-19,Pong,-0.05215534521183035,0.0,0.0,0.0,70310.92411436418,2.652955552756352,,model
2023-09-20,Pong,-0.05427253190934143,0.0,0.0,0.0,51611.6460364676,1.0025831608109776,,model
2023-09-21,Pong,-0.07828847725224594,0.0,0.0,0.0,46117.000273906066,2.411208375457873,,cwc
2023-09-22,Pong,-0.08057599474408916,0.0,0.0,0.0,43255.418635940616,0.8265742118160887,,model
2023-09-23,Pong,-0.0828699924578881,0.0,0.0,0.0,41041.56085529793,0.1630640917827422,,model
2023-09-24,Pong,-0.0851639901716871,0.0,0.0,0.0,40271.93297166227,0.0,,model
2023-09-25,Pong,-0.08744470763045414,0.0,0.0,0.0,39928.5060572526,0.0,,model
2023-09-26,Pong,-0.08923670810347403,0.0,0.0,0.0,39843.282116138915,0.0,,model
2023-09-27,Pong,-0.12683484148535532,0.0,0.0,0.0,39826.974127344176,0.0,,cwc
2023-09-28,Pong,-0.12849186016776618,0.0,0.0,0.0,39826.974127344176,0.0,,model
2023-09-29,Pong,-0.13024058515671916,0.0,0.0,0.0,39860.39493479895,0.0842390133607435,,model
2023-09-30,Pong,-0.13237172907697015,0.0,0.0,0.0,41090.28971026186,3.0659678594026114,,model
2024-06-01,Pong,-0.7515275216212722,0.0,0.0,0.0,40099.53413895469,0.125278665076793,,cwc
2024-06-02,Pong,-0.750585761660283,0.0,0.0,0.0,40113.48775704356,0.0330896200401634,,model
2024-06-03,Pong,-0.7522714784652345,0.0,0.0,0.0,40425.678976513016,1.378683483208253,,model
2024-06-04,Pong,-0.7540046650251294,0.0,0.0,0.0,40671.82697066808,0.1087575154545333,,model
2024-06-05,Pong,-0.7561888041824834,0.0,0.0,0.0,44966.07428325121,12.111940088274633,,model
2024-06-06,Pong,-0.7610926369438538,0.0,0.0,0.0,47970.013094572256,0.0429042276456865,,cwc
2024-06-07,Pong,-0.7633236636938623,0.0,0.0,0.0,41357.76092956995,0.0,,model
2024-06-08,Pong,-0.7655474159823321,0.0,0.0,0.0,41238.29955355824,0.0087252986596132,,model
2024-06-09,Pong,-0.7678084059560087,0.0,0.0,0.0,40103.44183473339,0.5592140678257745,,model
2024-06-10,Pong,-0.7700618448801662,0.0,0.0,0.0,40200.276153542065,0.0214513735095972,,model
2024-06-11,Pong,-0.772349142059059,0.0,0.0,0.0,39985.44551596101,0.2223310431296644,,model
2024-06-12,Pong,-0.7746075218695402,0.0,0.0,0.0,40003.75227120253,0.0,,model
2024-06-13,Pong,-0.7870279539510762,0.0,0.0,0.0,39910.04070434129,0.1450937236510573,,cwc
2024-06-14,Pong,-0.7883318709192485,0.0,0.0,0.0,39929.043515014295,0.0039941347138338,,model
2024-06-15,Pong,-0.7891203116619926,0.0,0.0,0.0,39843.83655102538,0.0,,model
2024-06-16,Pong,-0.7895479862850732,0.0,0.0,0.0,39916.60938554258,0.1889002137429335,,model
2024-06-17,Pong,-0.7912966075060193,0.0,0.0,0.0,41291.5191399087,3.4148837192380195,,model
2024-06-18,Pong,-0.7930328310425999,0.0,0.0,0.0,42318.59028116126,1.2530257229170791,,model
2024-06-19,Pong,-0.7940428250245245,0.0,0.0,0.0,43615.826790263265,6.2458374364072045,,model
2024-06-20,Pong,-0.8033989124585162,0.0,0.0,0.0,44523.723136570414,0.4508052035150321,,cwc
2024-06-21,Pong,-0.804764294562331,0.0,0.0,0.0,41199.45701372173,0.4192988222999608,,model
2024-06-22,Pong,-0.8052367078469239,0.0,0.0,0.0,41230.656762601364,0.7969869036031003,,model
2024-06-23,Pong,-0.804767469821925,0.0,0.0,0.0,43058.27061910157,5.799242545228215,,model
2024-06-24,Pong,-0.8046259759585169,0.0,0.0,0.0,44802.07956829458,2.113312013486922,,model
2024-06-25,Pong,-0.8039336092866183,0.0,0.0,0.0,42163.908427645976,0.5777525819473531,,model
2024-06-26,Pong,-0.8040234577531182,0.0,0.0,0.0,44411.13477222068,7.280830873614616,,model
2024-06-27,Pong,-0.8126939517752328,0.0,0.0,0.0,46780.874436996055,3.3178668544707133,,cwc
2024-06-28,Pong,-0.8083867170469091,0.0,0.0,0.0,45956.080448277346,5.324963204451019,,model
2024-06-29,Pong,-0.80014702117683,0.0,0.0,0.0,47342.39524572857,4.7687237632322095,,model
2024-06-30,Pong,-0.788019995187012,0.0,0.0,0.0,45373.88925952191,1.8027866489298072,,model
2024-07-01,Pong,-0.7606282029970994,0.0,0.0,0.0,47815.49451872083,9.835445862577432,,model
2024-07-02,Pong,-0.7209051482298029,0.0,0.0,0.0,56439.49533891928,14.882672132837634,,model
2024-07-03,Pong,-0.710811887124063,0.0,0.0,0.0,66335.84343813836,18.878017740093416,,model
2024-07-04,Pong,-0.718367061010497,0.0,0.0,0.0,76118.6157669045,18.79481652961392,,cwc
2024-07-05,Pong,-0.7176110397618165,0.0,0.0,0.0,114533.60183384856,58.52734657288989,,model
2024-07-06,Pong,-0.7179865840315997,0.0,0.0,0.0,145566.19505464062,1.6131510080095888,,model
2024-07-07,Pong,-0.719598986775681,0.0,0.0,0.0,71000.4863005777,6.2746721600167445,,model
2024-07-08,Pong,-0.7199628314075032,0.0,0.0,0.0,67452.83087261532,3.0386823440742234,,model
2024-07-09,Pong,-0.7200808676274003,0.0,0.0,0.0,47502.58700026472,1.873375635304514,,model
2024-07-10,Pong,-0.7214745186823448,0.0,0.0,0.0,44654.91327530736,0.8404524460452086,,model
