date,district,flooded_ha,fraction
2015-07-08,Jalandhar,0.0,0.0
2015-07-08,Kapurthala,0.0,0.0
2015-07-08,Ludhiana,0.0,0.0
2015-07-08,Mansa,0.0,0.0
2015-07-08,Moga,0.0,0.0
2015-07-08,Muktsar,0.0,0.0
2015-07-08,Nawanshahr,0.0,0.0
2015-07-08,Patiala,0.0,0.0
2015-07-08,Rupnagar,0.0,0.0
2015-07-08,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-08,Sangrur,0.0,0.0
2015-07-08,Tarn Taran,0.0,0.0
2015-07-09,Amritsar,0.0,0.0
2015-07-09,Barnala,0.0,0.0
2015-07-09,Bathinda,0.0,0.0
2015-07-09,Faridkot,0.0,0.0
2015-07-09,Fatehgarh Sahib,0.0,0.0
2015-07-09,Firozpur,0.0,0.0
2015-07-09,Gurdaspur,0.0,0.0
2015-07-09,Hoshiarpur,0.0,0.0
2015-07-09,Jalandhar,0.0,0.0
2015-07-09,Kapurthala,0.0,0.0
2015-07-09,Ludhiana,0.0,0.0
2015-07-09,Mansa,0.0,0.0
2015-07-09,Moga,0.0,0.0
2015-07-09,Muktsar,0.0,0.0
2015-07-09,Nawanshahr,0.0,0.0
2015-07-09,Patiala,0.0,0.0
2015-07-09,Rupnagar,0.0,0.0
2015-07-09,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-09,Sangrur,0.0,0.0
2015-07-09,Tarn Taran,0.0,0.0
2015-07-10,Amritsar,0.0,0.0
2015-07-10,Barnala,834.12,0.005597
2015-07-10,Bathinda,0.0,0.0
2015-07-10,Faridkot,0.0,0.0
2015-07-10,Fatehgarh Sahib,4017.9,0.035042
2015-07-10,Firozpur,0.0,0.0
2015-07-10,Gurdaspur,6900.3,0.01901
2015-07-10,Hoshiarpur,617.28,0.001828
2015-07-10,Jalandhar,30.83,0.000118
2015-07-10,Kapurthala,8.74,5.2e-05
2015-07-10,Ludhiana,4447.28,0.012366
2015-07-10,Mansa,135.76,0.000612
2015-07-10,Moga,0.0,0.0
2015-07-10,Muktsar,0.0,0.0
2015-07-10,Nawanshahr,1339.9,0.010269
2015-07-10,Patiala,4535.27,0.013577
2015-07-10,Rupnagar,76.96,0.000554
2015-07-10,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-10,Sangrur,19041.11,0.05273
2015-07-10,Tarn Taran,0.0,0.0
2015-07-11,Amritsar,0.0,0.0
2015-07-11,Barnala,0.0,0.0
2015-07-11,Bathinda,0.0,0.0
2015-07-11,Faridkot,0.0,0.0
2015-07-11,Fatehgarh Sahib,0.0,0.0
2015-07-11,Firozpur,0.0,0.0
2015-07-11,Gurdaspur,0.0,0.0
2015-07-11,Hoshiarpur,0.0,0.0
2015-07-11,Jalandhar,0.0,0.0
2015-07-11,Kapurthala,0.0,0.0
2015-07-11,Ludhiana,0.0,0.0
2015-07-11,Mansa,0.0,0.0
2015-07-11,Moga,0.0,0.0
2015-07-11,Muktsar,0.0,0.0
2015-07-11,Nawanshahr,0.0,0.0
2015-07-11,Patiala,0.0,0.0
2015-07-11,Rupnagar,0.0,0.0
2015-07-11,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-11,Sangrur,0.0,0.0
2015-07-11,Tarn Taran,0.0,0.0
2015-07-12,Amritsar,0.0,0.0
2015-07-12,Barnala,0.0,0.0
2015-07-12,Bathinda,0.0,0.0
2015-07-12,Faridkot,0.0,0.0
2015-07-12,Fatehgarh Sahib,0.0,0.0
2015-07-12,Firozpur,0.0,0.0
2015-07-12,Gurdaspur,0.0,0.0
2015-07-12,Hoshiarpur,0.0,0.0
2015-07-12,Jalandhar,0.0,0.0
2015-07-12,Kapurthala,0.0,0.0
2015-07-12,Ludhiana,0.0,0.0
2015-07-12,Mansa,0.0,0.0
2015-07-12,Moga,0.0,0.0
2015-07-12,Muktsar,0.0,0.0
2015-07-12,Nawanshahr,0.0,0.0
2015-07-12,Patiala,0.0,0.0
2015-07-12,Rupnagar,0.0,0.0
2015-07-12,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-12,Sangrur,0.0,0.0
2015-07-12,Tarn Taran,0.0,0.0
2015-07-13,Amritsar,0.0,0.0
2015-07-13,Barnala,0.0,0.0
2015-07-13,Bathinda,0.0,0.0
2015-07-13,Faridkot,0.0,0.0
2015-07-13,Fatehgarh Sahib,0.0,0.0
2015-07-13,Firozpur,0.0,0.0
2015-07-13,Gurdaspur,0.0,0.0
2015-07-13,Hoshiarpur,0.0,0.0
2015-07-13,Jalandhar,0.0,0.0
2015-07-13,Kapurthala,0.0,0.0
2015-07-13,Ludhiana,0.0,0.0
2015-07-13,Mansa,0.0,0.0
2015-07-13,Moga,0.0,0.0
2015-07-13,Muktsar,0.0,0.0
2015-07-13,Nawanshahr,0.0,0.0
2015-07-13,Patiala,0.0,0.0
2015-07-13,Rupnagar,0.0,0.0
2015-07-13,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-13,Sangrur,0.0,0.0
2015-07-13,Tarn Taran,0.0,0.0
2015-07-14,Amritsar,0.0,0.0
2015-07-14,Barnala,0.0,0.0
2015-07-14,Bathinda,0.0,0.0
2015-07-14,Faridkot,0.0,0.0
2015-07-14,Fatehgarh Sahib,0.0,0.0
2015-07-14,Firozpur,0.0,0.0
2015-07-14,Gurdaspur,0.0,0.0
2015-07-14,Hoshiarpur,0.0,0.0
2015-07-14,Jalandhar,0.0,0.0
2015-07-14,Kapurthala,0.0,0.0
2015-07-14,Ludhiana,0.0,0.0
2015-07-14,Mansa,0.0,0.0
2015-07-14,Moga,0.0,0.0
2015-07-14,Muktsar,0.0,0.0
2015-07-14,Nawanshahr,0.0,0.0
2015-07-14,Patiala,0.0,0.0
2015-07-14,Rupnagar,0.0,0.0
2015-07-14,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-14,Sangrur,0.0,0.0
2015-07-14,Tarn Taran,0.0,0.0
2015-07-15,Amritsar,222.55,0.000834
2015-07-15,Barnala,49.24,0.00033
2015-07-15,Bathinda,0.0,0.0
2015-07-15,Faridkot,12.6,8.7e-05
2015-07-15,Fatehgarh Sahib,0.0,0.0
2015-07-15,Firozpur,135.38,0.000259
2015-07-15,Gurdaspur,73.12,0.000201
2015-07-15,Hoshiarpur,0.0,0.0
2015-07-15,Jalandhar,15.39,5.9e-05
2015-07-15,Kapurthala,5.82,3.5e-05
2015-07-15,Ludhiana,5.15,1.4e-05
2015-07-15,Mansa,4.51,2e-05
2015-07-15,Moga,48.1,0.000204
2015-07-15,Muktsar,26.01,0.0001
2015-07-15,Nawanshahr,0.0,0.0
2015-07-15,Patiala,18.02,5.4e-05
2015-07-15,Rupnagar,0.0,0.0
2015-07-15,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-15,Sangrur,1360.18,0.003767
2015-07-15,Tarn Taran,197.98,0.000825
