district,year,window_start,window_end,district_mm,district_mm_lag1,district_mm_lag2,district_first3d,district_first5d,district_max1d,district_max3d,district_p90,api_start
Sahibzada Ajit Singh Nagar,2018,2018-09-03,2018-09-13,73.515,56.642,59.97,30.009,36.298,14.282,30.009,14.183,62.442
Sangrur,2018,2018-09-03,2018-09-13,30.46,6.736,29.649,6.683,12.753,13.702,20.978,6.54,14.472
Shahid Bhagat Singh Nagar,2018,2018-09-03,2018-09-13,103.687,63.726,19.189,23.746,28.083,48.819,66.079,20.221,62.604
Tarn Taran,2018,2018-09-03,2018-09-13,32.462,4.97,39.341,2.224,3.638,13.719,27.645,11.627,17.847
Amritsar,2018,2018-09-13,2018-09-23,2.936,29.847,2.651,2.276,2.311,1.185,2.276,1.1,26.366
Barnala,2018,2018-09-13,2018-09-23,15.19,29.046,7.222,13.724,13.724,13.724,13.724,2.692,25.727
Bathinda,2018,2018-09-13,2018-09-23,1.746,7.756,0.717,1.653,1.653,1.653,1.653,0.249,9.103
Faridkot,2018,2018-09-13,2018-09-23,0.0,7.445,0.06,0.0,0.0,0.0,0.0,0.0,8.093
Fatehgarh Sahib,2018,2018-09-13,2018-09-23,33.492,70.475,61.321,11.274,11.274,22.218,22.218,11.988,63.552
Firozpur,2018,2018-09-13,2018-09-23,0.056,5.272,0.666,0.0,0.056,0.056,0.056,0.006,5.849
Gurdaspur,2018,2018-09-13,2018-09-23,27.003,23.284,36.443,22.271,22.271,11.442,22.271,10.871,34.036
Hoshiarpur,2018,2018-09-13,2018-09-23,53.646,66.061,70.873,50.341,50.636,35.684,50.341,16.76,68.702
Jalandhar,2018,2018-09-13,2018-09-23,21.878,61.846,21.698,20.163,21.625,11.141,20.163,9.234,54.731
Kapurthala,2018,2018-09-13,2018-09-23,18.007,88.749,14.081,16.193,17.878,10.221,16.193,6.397,73.222
Ludhiana,2018,2018-09-13,2018-09-23,31.608,97.645,21.835,26.668,27.797,26.347,26.668,6.065,73.924
Mansa,2018,2018-09-13,2018-09-23,3.554,4.332,2.474,0.713,0.713,2.841,2.841,0.926,5.086
Moga,2018,2018-09-13,2018-09-23,4.291,22.687,4.498,3.854,4.284,3.854,3.854,0.772,22.477
Muktsar,2018,2018-09-13,2018-09-23,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,9.134
Patiala,2018,2018-09-13,2018-09-23,36.929,60.55,47.209,11.411,11.411,25.518,25.518,12.787,51.315
Rupnagar,2018,2018-09-13,2018-09-23,38.595,146.484,81.746,26.302,26.352,16.528,26.302,12.671,121.586
